"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2008",8.86,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2009",8.5,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2010",8.52,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2011",7.55,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2012",6.65,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2013",6.93,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2014",6.15,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2015",5.73,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2016",5.93,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2017",5.51,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2018",5.48,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2019",4.87,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2020",4.45,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2021",4.86,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2007",12.2,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2008",10.55,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2009",10.08,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2010",11.56,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2011",10.13,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2012",9.03,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2013",9.14,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2014",8.36,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2015",7.73,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2016",8.22,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2017",7.7,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2018",7.94,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2019",7.32,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2020",6.47,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2021",6.48,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2007",5.52,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2008",5.43,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2009",5.2,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2010",5.23,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2011",5.01,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2012",5.04,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2013",5.02,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2014",4.51,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2015",4.57,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2016",4.6,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2017",4.64,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2018",4.45,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2019",4.34,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2020",3.84,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2021",4.2,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2007",9.47,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2008",9.58,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2009",8.95,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2010",9.45,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2011",9.11,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2012",9.27,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2013",9.47,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2014",8.93,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2015",8.93,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2016",8.92,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2017",8.7,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2018",8.38,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2019",7.77,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2020",7.1,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2021",7.48,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2007",8.86,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2008",8.52,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2009",8.12,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2010",7.5,
