Ticker,Company,Sector,Country,beta,profit_margin,pe_ratio,ev/ebita,eps,total_esg,e_esg,s_esg,g_esg,highestControversy,Cluster
AOS,A. O. Smith,Industrials,USA,1.2173,0.12991,19.566877,12.539,3.14,24.2,7.12,10.84,6.24,0,0
ACN,Accenture,Information Technology,USA,1.211925,0.11304,24.144394,15.857,11.15,9.71,0.29,4.58,4.83,2,0
ADBE,Adobe Inc.,Information Technology,USA,1.257183,0.27014,33.010914,22.623,10.08,12.46,1.89,5.93,4.64,1,0
ADP,ADP,Information Technology,USA,0.864318,0.17933,33.26316,22.044,7.22,13.97,1.07,6.96,5.94,1,0
AAP,Advance Auto Parts,Consumer Discretionary,USA,1.138821,0.04304,19.746155,12.736,7.8,12.97,0.1,9.17,3.7,2,0
A,Agilent Technologies,Health Care,USA,1.078663,0.18312,35.32775,23.457,4.18,15.33,0.34,8.65,6.34,1,0
APD,Air Products and Chemicals,Materials,USA,0.857399,0.17767,30.771826,19.402,10.08,10.81,5.94,1.28,3.59,1,0
AKAM,Akamai,Information Technology,USA,0.708692,0.14117,27.428114,13.435,3.13,19.63,1.93,10.35,7.35,1,0
ARE,Alexandria Real Estate Equities,Real Estate,USA,0.947331,0.21697001,44.457832,25.031,3.32,14.78,2.98,6.27,5.54,0,0
ALLE,Allegion,Industrials,USA,1.08092,0.1396,22.692465,17.371,4.91,23.59,12.75,4.54,6.3,0,0
LNT,Alliant Energy,Utilities,USA,0.503591,0.16372,20.730335,14.313,2.67,21.87,10.04,5.65,6.18,1,0
AMT,American Tower,Real Estate,USA,0.536278,0.27776,34.301414,24.022,6.37,10.94,2.36,3.56,5.02,1,0
ABC,AmerisourceBergen,Health Care,USA,0.549928,0.00712,20.79172,10.636,7.97,12.32,1.32,5.64,5.36,3,0
AME,Ametek,Industrials,USA,1.228113,0.18812999,29.415133,19.096,4.89,24.08,8.65,8.51,6.92,1,0
APH,Amphenol,Information Technology,USA,1.24904,0.14986,26.543919,16.752,2.96,21.58,8.04,5.49,8.04,2,0
ADI,Analog Devices,Information Technology,USA,1.162715,0.22878,31.83077,14.705,5.2,23.78,10.13,7.74,5.9,0,0
ANSS,Ansys,Information Technology,USA,1.267959,0.23132999,45.77629,31.032,5.23,13.05,0.86,7.32,4.86,0,0
AMAT,Applied Materials,Information Technology,USA,1.571328,0.25305,14.014785,10.393,7.44,11.56,3.84,2.62,5.1,1,0
APTV,Aptiv,Consumer Discretionary,USA,2.017241,0.02214,86.23684,14.729,1.14,11.68,2.49,3.94,5.24,1,0
ANET,Arista Networks,Information Technology,USA,1.279734,0.29633,38.64261,22.115,2.91,16.4,0.4,8.88,7.11,1,0
ADSK,Autodesk,Information Technology,USA,1.474137,0.12637,67.09319,40.37,2.79,16.07,3.41,8.19,4.47,0,0
AZO,AutoZone,Consumer Discretionary,USA,0.750359,0.14568,21.19175,14.902,117.34,11.34,0.05,7.17,4.12,2,0
AVB,AvalonBay Communities,Real Estate,USA,0.915591,0.48189,18.594318,19.08,8.8,10.53,2.95,3.02,4.56,1,0
AVY,Avery Dennison,Materials,USA,0.989583,0.08883,18.812187,13.101,10.01,15.35,10.58,1.14,3.63,1,0
BALL,Ball Corporation,Materials,USA,0.701149,0.0621,17.966887,11.905,3.02,10.94,5.92,1.11,3.92,2,0
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,USA,1.697198,0.12467,11.825641,8.442,3.9,15.74,2.59,8.43,4.71,2,0
BBY,Best Buy,Consumer Discretionary,USA,1.510289,0.03234,12.431138,7.043,6.68,14.26,2.22,7.19,4.85,2,0
BIO,Bio-Rad,Health Care,USA,0.92852,-2.15161,32.250165796058035,18.711,-3.387,16.87,1.44,8.25,7.19,1,0
BWA,BorgWarner,Consumer Discretionary,USA,1.442887,0.0533,12.543605,6.231,3.44,13.44,2.6,4.33,6.52,2,0
BXP,Boston Properties,Real Estate,USA,1.048132,0.30014,11.722029,14.931,5.72,12.43,2.54,4.52,5.37,1,0
BR,Broadridge Financial Solutions,Information Technology,USA,0.93617,0.090059996,31.159092,16.502,4.4,16.49,0.82,9.01,6.67,2,0
CHRW,C.H. Robinson,Industrials,USA,0.775723,0.04112,11.310303,8.937,8.25,20.17,5.25,9.29,5.63,1,0
CDNS,Cadence Design Systems,Information Technology,USA,1.088362,0.22858,56.416965,36.214,2.83,12.27,1.41,6.06,4.8,0,0
CPT,Camden Property Trust,Real Estate,USA,0.793163,0.59977,14.84375,19.156,7.68,15.87,4.47,4.13,7.27,0,0
CPB,Campbell Soup Company,Consumer Staples,USA,0.394037,0.089090005,21.594696,13.553,2.64,22.56,9.93,8.13,4.51,2,0
CAH,Cardinal Health,Health Care,USA,0.78828,-0.00585,32.250165796058035,9.69,-3.377,12.28,1.51,5.9,4.86,3,0
KMX,CarMax,Consumer Discretionary,USA,1.433205,0.01742,17.26509,25.184,3.81,11.97,0.08,7.92,3.98,1,0
